,,total,total,total,dem,dem,dem,gop,gop,gop,dem_per,dem_per,dem_per,gop_per,gop_per,gop_per
state,county,2012,2016,2020,2012,2016,2020,2012,2016,2020,2012,2016,2020,2012,2016,2020
Florida,ALACHUA COUNTY,120418,128571,142604,69699,75820,89704,48797,46834,50972,0.578808816,0.589713077,0.629042664,0.405230115,0.364265659,0.357437379
Florida,BAKER COUNTY,11368,12634,14059,2311,2112,2037,8975,10294,11911,0.203289937,0.167167959,0.144889395,0.789496833,0.814785499,0.847215307
Florida,BAY COUNTY,79861,87453,93024,22051,21797,25614,56876,62194,66097,0.276117254,0.24924245,0.275348297,0.712187426,0.711170572,0.710537066
Florida,BRADFORD COUNTY,11635,12098,13632,3325,2924,3160,8219,8913,10334,0.285775677,0.241692842,0.231807512,0.706403094,0.736733344,0.758069249
Florida,BREVARD COUNTY,285559,314752,360764,122993,119679,148549,159300,181848,207883,0.430709591,0.380232691,0.41176226,0.557853193,0.577750102,0.57622989
Florida,BROWARD COUNTY,756422,831951,957672,508312,553320,618752,244101,260951,333409,0.671995262,0.665087247,0.646100126,0.322704786,0.313661502,0.348145294
Florida,CALHOUN COUNTY,6152,6081,6526,1664,1241,1209,4366,4655,5274,0.270481144,0.204078277,0.185258964,0.709687906,0.765499096,0.808152007
Florida,CHARLOTTE COUNTY,84682,96374,116340,35906,33445,42273,47996,60218,73243,0.424009825,0.347033432,0.363357401,0.566779245,0.624836574,0.629559911
Florida,CITRUS COUNTY,73935,79700,93208,28460,22789,27092,44662,54456,65352,0.384932711,0.285934755,0.290661746,0.604071144,0.683262233,0.701141533
Florida,CLAY COUNTY,96589,106483,124405,25759,27822,38317,70022,74963,84480,0.266686683,0.261281143,0.30800209,0.724947975,0.703990308,0.679072385
Florida,COLLIER COUNTY,149112,170789,207818,51698,61085,77621,96520,105423,128950,0.346705832,0.35766355,0.373504701,0.647298675,0.617270433,0.620494856
Florida,COLUMBIA COUNTY,27163,28707,33042,8462,7601,8914,18429,20368,23836,0.311526709,0.264778625,0.269777858,0.678459669,0.709513359,0.721384904
Florida,DESOTO COUNTY,9865,10818,12659,4174,3781,4259,5587,6778,8313,0.423112012,0.349510076,0.336440477,0.566345666,0.626548345,0.656686942
Florida,DIXIE COUNTY,6941,7202,8167,1798,1270,1365,5052,5822,6759,0.259040484,0.176339906,0.167136035,0.727849013,0.808386559,0.827598874
Florida,DUVAL COUNTY,411848,432695,492820,196737,205704,252556,211615,211672,233762,0.477693227,0.475401842,0.512471085,0.513818205,0.489194467,0.474335457
Florida,ESCAMBIA COUNTY,148502,152469,170372,58185,57461,70929,88711,88808,96674,0.391812905,0.376870052,0.416318409,0.597372426,0.582465944,0.56742892
Florida,FLAGLER COUNTY,50595,57503,71716,23207,22026,28161,26969,33850,43043,0.458681688,0.383040885,0.39267388,0.533036861,0.588664939,0.600186848
Florida,FRANKLIN COUNTY,5474,6015,6849,1845,1744,2120,3570,4125,4675,0.337047863,0.289941812,0.309534239,0.652173913,0.685785536,0.682581399
Florida,GADSDEN COUNTY,22499,22113,23762,15770,15020,16153,6630,6728,7465,0.700920041,0.679238457,0.679782847,0.294679764,0.304255415,0.314157057
Florida,GILCHRIST COUNTY,7909,8420,9685,1885,1458,1700,5917,6740,7895,0.238336073,0.173159145,0.175529169,0.748135036,0.800475059,0.81517811
Florida,GLADES COUNTY,3989,4353,5193,1603,1271,1385,2344,2996,3782,0.401855102,0.291982541,0.26670518,0.587615944,0.688260969,0.72828808
Florida,GULF COUNTY,7108,7293,8163,2014,1720,1985,4995,5329,6113,0.283342712,0.235842589,0.243170403,0.702729319,0.730700672,0.748866838
Florida,HAMILTON COUNTY,5407,5460,5830,2228,1904,1963,3138,3443,3815,0.412058443,0.348717949,0.33670669,0.580358794,0.630586081,0.654373928
Florida,HARDEE COUNTY,7226,7583,8485,2463,2149,2298,4696,5242,6122,0.340852477,0.283397072,0.270830878,0.64987545,0.691283133,0.721508544
Florida,HENDRY COUNTY,10185,11115,12940,4751,4615,4929,5355,6195,7906,0.466470299,0.415204678,0.380911901,0.525773196,0.557354926,0.610973725
Florida,HERNANDO COUNTY,83667,93796,108922,37830,31795,37519,44938,58970,70412,0.452149593,0.33898034,0.344457502,0.53710543,0.628704849,0.646444245
Florida,HIGHLANDS COUNTY,42444,45686,52170,16148,14937,16938,25915,29565,34873,0.380454246,0.326949175,0.32466935,0.610569221,0.64713479,0.6684493
Florida,HILLSBOROUGH COUNTY,542102,597660,712063,286467,307896,376367,250186,266870,327398,0.528437453,0.51516916,0.528558569,0.461510933,0.44652478,0.459787968
Florida,HOLMES COUNTY,8274,8514,9068,1264,853,924,6919,7483,8080,0.152767706,0.100187926,0.10189678,0.836233986,0.878905332,0.891045434
Florida,INDIAN RIVER COUNTY,71464,80009,97484,27492,29043,37844,43450,48620,58872,0.38469719,0.362996663,0.388207296,0.607998433,0.607681636,0.603914489
Florida,JACKSON COUNTY,20941,21041,22419,7342,6397,6766,13418,14257,15488,0.350604078,0.304025474,0.301797582,0.640752591,0.677581864,0.690842589
Florida,JEFFERSON COUNTY,7808,7645,8451,3945,3541,3897,3808,3930,4479,0.505251025,0.463178548,0.46112886,0.487704918,0.514061478,0.52999645
Florida,LAFAYETTE COUNTY,3399,3392,3658,687,518,510,2668,2809,3128,0.20211827,0.152712264,0.139420448,0.784936746,0.828125,0.855112083
Florida,LAKE COUNTY,150811,170462,211314,61799,62838,83505,87643,102188,125859,0.409777801,0.368633478,0.395170221,0.581144611,0.599476716,0.595601806
Florida,LEE COUNTY,266166,326420,393899,110157,124908,157695,154163,191551,233247,0.413865783,0.382660376,0.400343743,0.579198696,0.586823724,0.592149257
Florida,LEON COUNTY,148353,152132,162929,90881,92068,103517,55805,53821,57453,0.612599678,0.605184971,0.635350367,0.37616361,0.353778298,0.35262599
Florida,LEVY COUNTY,18399,19395,23145,6119,5101,6205,12054,13775,16749,0.332572422,0.263005929,0.268092461,0.655144301,0.710234597,0.723655217
Florida,LIBERTY COUNTY,3284,3296,3561,942,651,694,2301,2543,2846,0.286845311,0.197512136,0.194889076,0.700669915,0.771541262,0.799213704
Florida,MADISON COUNTY,8715,8505,9380,4176,3526,3747,4474,4851,5576,0.479173838,0.414579659,0.399466951,0.513367757,0.57037037,0.59445629
Florida,MANATEE COUNTY,153491,178958,216958,66503,71224,90166,85627,101944,124987,0.433269703,0.397992825,0.415591958,0.557863327,0.569653215,0.57608846
Florida,MARION COUNTY,161385,174700,204376,66831,62041,74858,93043,107833,127826,0.414109118,0.355128792,0.366275884,0.576528178,0.617246709,0.625445258
Florida,MARTIN COUNTY,78873,85792,98726,30107,30185,36893,48183,53204,61168,0.381714909,0.351839332,0.373690821,0.610893462,0.620151063,0.619573365
Florida,MIAMI-DADE COUNTY,878314,980204,1156816,541440,624146,617864,332981,333999,532833,0.616453797,0.636751125,0.534107412,0.379113848,0.340744376,0.460603069
Florida,MONROE COUNTY,39057,42478,48029,19404,18971,21881,19234,21904,25693,0.496812351,0.446607656,0.455578921,0.492459738,0.515655163,0.534947636
Florida,NASSAU COUNTY,40528,46607,58811,10251,10869,15564,29929,34266,42566,0.252936242,0.233205313,0.264644369,0.738477102,0.735211449,0.723776164
Florida,OKALOOSA COUNTY,94798,100855,116373,23421,23780,34248,70168,71893,79798,0.247062174,0.235784046,0.294295068,0.740184392,0.712835259,0.685708884
Florida,OKEECHOBEE COUNTY,12324,13653,15954,4856,3959,4390,7328,9356,11470,0.394027913,0.2899729,0.275166103,0.594612139,0.685270636,0.718941958
Florida,ORANGE COUNTY,466359,546275,647403,273665,329894,395014,188589,195216,245398,0.586811877,0.603897304,0.610151637,0.404385892,0.357358473,0.379049834
Florida,OSCEOLA COUNTY,108698,140206,172436,67239,85458,97297,40592,50301,73480,0.618585439,0.609517424,0.564249925,0.373438334,0.35876496,0.426129115
Florida,PALM BEACH COUNTY,600721,662332,773158,349651,374673,433572,247398,272402,334711,0.582052234,0.565687601,0.560780591,0.411835111,0.411277124,0.4329141
Florida,PASCO COUNTY,213573,241139,301970,98263,90142,119073,112427,142101,179621,0.460090929,0.373817591,0.394320628,0.526410174,0.589290824,0.594830612
Florida,PINELLAS COUNTY,457702,492403,559715,239104,233701,277450,213258,239201,276209,0.522401038,0.474613274,0.495698704,0.465931982,0.485782987,0.493481504
Florida,POLK COUNTY,248683,284314,343256,114622,117433,145049,131577,157430,194586,0.460916106,0.413039808,0.422567996,0.529095274,0.553718776,0.566883026
Florida,PUTNAM COUNTY,31324,33117,36373,11667,10094,10527,19326,22138,25514,0.37246201,0.30479814,0.289417975,0.616971013,0.668478425,0.701454375
Florida,SANTA ROSA COUNTY,76846,87745,106928,17768,18464,27612,58186,65339,77385,0.231215678,0.210427945,0.258229837,0.757176691,0.744646419,0.723711282
Florida,SARASOTA COUNTY,207480,229063,270575,95119,97870,120110,110504,124438,148370,0.458449007,0.427262369,0.443906495,0.532600733,0.543247927,0.548350735
Florida,SEMINOLE COUNTY,208620,224896,260815,96445,105914,132528,109943,109443,125241,0.462299875,0.470946571,0.508130284,0.527001246,0.486638268,0.48019094
Florida,ST. JOHNS COUNTY,114795,136514,176622,35190,43099,63850,78513,88684,110946,0.306546452,0.315711209,0.361506494,0.683940938,0.649633005,0.628155043
Florida,ST. LUCIE COUNTY,123027,140847,172169,65869,66881,84137,56202,70289,86831,0.535402798,0.474848595,0.48868844,0.45682655,0.499045063,0.504335856
Florida,SUMTER COUNTY,60479,76665,92485,19524,22638,29341,40646,52730,62761,0.322822798,0.29528468,0.317251446,0.672067991,0.687797561,0.678607342
Florida,SUWANNEE COUNTY,17629,18694,21057,4751,3964,4485,12672,14287,16410,0.269499121,0.212046646,0.212993304,0.718815588,0.764255911,0.779313292
Florida,TAYLOR COUNTY,9120,9290,10127,2764,2152,2299,6249,6930,7751,0.303070175,0.231646932,0.227016886,0.685197368,0.745963402,0.765379678
Florida,UNION COUNTY,5393,5694,6245,1339,1014,1053,3980,4568,5133,0.248284814,0.178082192,0.168614892,0.737993696,0.80224798,0.82193755
Florida,VOLUSIA COUNTY,234536,260869,307439,114748,109091,130575,117490,143007,173821,0.489255381,0.418183073,0.424718399,0.50094655,0.548194688,0.565383702
Florida,WAKULLA COUNTY,14660,15351,18404,5175,4348,5351,9290,10512,12874,0.353001364,0.283238877,0.29075201,0.633697135,0.684776236,0.699521843
Florida,WALTON COUNTY,28494,33637,43711,6671,6876,10338,21490,25756,32947,0.234119464,0.204417754,0.236507973,0.754193865,0.765704433,0.753746197
Florida,WASHINGTON COUNTY,10999,11156,12327,2820,2264,2347,8038,8637,9876,0.256386944,0.202940122,0.190395068,0.730793709,0.774202223,0.801168167
,,,,,4237756,4504975,5297045,4163447,4617886,5668731,,,,,,
