,,demturnout,demturnout,demturnout,dem,dem,dem,AGE18PLUS_TOT,AGE18PLUS_TOT,AGE18PLUS_TOT
year,,2012,2016,2020,2012,2016,2020,2012,2016,2020
state,county,,,,,,,,,
Arizona,APACHE COUNTY,0.3390008105810482,0.3320698234973952,0.4439975601387671,17147,17083,23293,50581,51444,52462
Arizona,COCHISE COUNTY,0.18090834601428069,0.1778525200020384,0.2398407260305814,18546,17450,23732,102516,98115,98949
Arizona,COCONINO COUNTY,0.2776992074415073,0.292544643663218,0.389606540801562,29257,32404,44698,105355,110766,114726
Arizona,GILA COUNTY,0.18327935993904182,0.16488121865655828,0.20623097500230606,7697,7003,8943,41996,42473,43364
Arizona,GRAHAM COUNTY,0.13552893462015098,0.12062854010597479,0.14161839564683168,3609,3301,4034,26629,27365,28485
Arizona,GREENLEE COUNTY,0.21074646074646075,0.15753029428736295,0.17058738634723625,1310,1092,1182,6216,6932,6929
Arizona,LA PAZ COUNTY,0.1108294523374403,0.0919224932881989,0.12703101920236337,1880,1575,2236,16963,17134,17602
Arizona,MARICOPA COUNTY,0.20513058049398525,0.218852513120434,0.30316961143917115,602288,702907,1040774,2936120,3211784,3432976
Arizona,MOHAVE COUNTY,0.11943136655457047,0.10348609711270529,0.1404293583377634,19533,17455,24831,163550,168670,176822
Arizona,NAVAJO COUNTY,0.22154091544968427,0.208478998834676,0.2858417681286979,16945,16459,23383,76487,78948,81804
Arizona,PIMA COUNTY,0.2609815971605343,0.2813449798065183,0.3665760386166842,201251,224661,304981,771131,798525,831972
Arizona,PINAL COUNTY,0.15492204245617838,0.15012177881706848,0.20838177151973364,44306,47892,75106,285989,319021,360425
Arizona,SANTA CRUZ COUNTY,0.283595922150139,0.34818609638410675,0.38501890220672275,9486,11690,13138,33449,33574,34123
Arizona,YAVAPAI COUNTY,0.1956901774123756,0.19062156878498165,0.2509917823746104,33918,35590,49602,173325,186705,197624
Arizona,YUMA COUNTY,0.12206975801000405,0.15936087255016257,0.20103858492803556,18059,24605,32210,147940,154398,160218
Florida,ALACHUA COUNTY,0.3373212341197822,0.3504927793494943,0.40635277276968934,69699,75820,89704,206625,216324,220754
Florida,BAKER COUNTY,0.11459882971337895,0.10039931545921278,0.09159584513692162,2311,2112,2037,20166,21036,22239
Florida,BAY COUNTY,0.16371546725467923,0.15158701457661067,0.18464266662822046,22051,21797,25614,134691,143792,138722
Florida,BRADFORD COUNTY,0.15452179570592062,0.13689138576779025,0.13902331720193578,3325,2924,3160,21518,21360,22730
Florida,BREVARD COUNTY,0.2780558494524475,0.25471312609341545,0.30144666965646416,122993,119679,148549,442332,469858,492787
Florida,BROWARD COUNTY,0.3584718444397273,0.3681366094732703,0.4011220360013562,508312,553320,618752,1417997,1503029,1542553
Florida,CALHOUN COUNTY,0.14403185319830347,0.1092333421353754,0.10702903682719547,1664,1241,1209,11553,11361,11296
Florida,CHARLOTTE COUNTY,0.2555514433752776,0.21533657405917006,0.25377148380047904,35906,33445,42273,140504,155315,166579
Florida,CITRUS COUNTY,0.24150162075929604,0.18730787565959264,0.2122166345506102,28460,22789,27092,117846,121666,127662
Florida,CLAY COUNTY,0.17746346907703012,0.17636878839168552,0.22686473492877357,25759,27822,38317,145151,157749,168898
Florida,COLLIER COUNTY,0.191784480807826,0.2030022465338243,0.24245424758001793,51698,61085,77621,269563,300908,320147
Florida,COLUMBIA COUNTY,0.1595459858969041,0.1407983699175697,0.15848238096931339,8462,7601,8914,53038,53985,56246
Florida,DESOTO COUNTY,0.15178181818181818,0.12969950603732164,0.13805958053745665,4174,3781,4259,27500,29152,30849
Florida,DIXIE COUNTY,0.13758800122436485,0.0946207718670839,0.0992510724932742,1798,1270,1365,13068,13422,13753
Florida,DUVAL COUNTY,0.2906814733168541,0.2873940281324921,0.3403687566289806,196737,205704,252556,676813,715756,742007
Florida,ESCAMBIA COUNTY,0.24309283777516888,0.2335328854587057,0.28136937937600415,58185,57461,70929,239353,246051,252085
Florida,FLAGLER COUNTY,0.2912013451451803,0.24855556558635009,0.293484377931092,23207,22026,28161,79694,88616,95954
Florida,FRANKLIN COUNTY,0.19081600992863793,0.17626844552253892,0.2066679664651979,1845,1744,2120,9669,9894,10258
Florida,GADSDEN COUNTY,0.4392145940676786,0.41762824968719586,0.4511507094179421,15770,15020,16153,35905,35965,35804
Florida,GILCHRIST COUNTY,0.14104002992891881,0.10406852248394004,0.11420893516963386,1885,1458,1700,13365,14010,14885
Florida,GLADES COUNTY,0.15423842971230636,0.11280731339309488,0.1171445487608898,1603,1271,1385,10393,11267,11823
Florida,GULF COUNTY,0.15134891410535808,0.12661023187338977,0.17807481833677222,2014,1720,1985,13307,13585,11147
Florida,HAMILTON COUNTY,0.186756077116513,0.16473438311126493,0.16800753166723725,2228,1904,1963,11930,11558,11684
Florida,HARDEE COUNTY,0.12355774054379452,0.10709658128177016,0.11444793067383834,2463,2149,2298,19934,20066,20079
Florida,HENDRY COUNTY,0.17450231396459268,0.15767535617889233,0.16003246753246753,4751,4615,4929,27226,29269,30800
Florida,HERNANDO COUNTY,0.27122556962388333,0.21411927915308568,0.23662037562593813,37830,31795,37519,139478,148492,158562
Florida,HIGHLANDS COUNTY,0.20051407497547588,0.176905311778291,0.19171477079796265,16148,14937,16938,80533,84435,88350
Florida,HILLSBOROUGH COUNTY,0.29199951480704917,0.2852016491705517,0.3282089070661795,286467,307896,376367,981053,1079573,1146730
Florida,HOLMES COUNTY,0.080896,0.055106919051618325,0.05913978494623656,1264,853,924,15625,15479,15624
Florida,INDIAN RIVER COUNTY,0.2393251677939986,0.23098029235394232,0.28053996753078275,27492,29043,37844,114873,125738,134897
Florida,JACKSON COUNTY,0.184384339134584,0.16291448072123466,0.17972215581586845,7342,6397,6766,39819,39266,37647
Florida,JEFFERSON COUNTY,0.338452299245024,0.3081810269799826,0.32780955585464333,3945,3541,3897,11656,11490,11888
Florida,LAFAYETTE COUNTY,0.09821300929235167,0.07435050954499785,0.07562277580071175,687,518,510,6995,6967,6744
Florida,LAKE COUNTY,0.25517902047658964,0.23345097893524538,0.28046281990998856,61799,62838,83505,242179,269170,297740
Florida,LEE COUNTY,0.21128940685443343,0.21116160181766544,0.24753244551602027,110157,124908,157695,521356,591528,637068
Florida,LEON COUNTY,0.39519663947400463,0.3953011086017535,0.4332814318122839,90881,92068,103517,229964,232906,238914
Florida,LEVY COUNTY,0.19335166050494518,0.15958079149069296,0.18557286837934026,6119,5101,6205,31647,31965,33437
Florida,LIBERTY COUNTY,0.14199577931866145,0.09615952732644018,0.10055056505360765,942,651,694,6634,6770,6902
Florida,MADISON COUNTY,0.2764098490865767,0.238840344103502,0.24834305408271473,4176,3526,3747,15108,14763,15088
Florida,MANATEE COUNTY,0.24924573771536296,0.23416391868833486,0.27260249123231345,66503,71224,90166,266817,304163,330760
Florida,MARION COUNTY,0.24693871518412047,0.21982893021146324,0.2511465619915119,66831,62041,74858,270638,282224,298065
Florida,MARTIN COUNTY,0.24433533517286155,0.2287764985864894,0.27345162916184884,30107,30185,36893,123220,131941,134916
Florida,MIAMI-DADE COUNTY,0.26690788808837773,0.2921223575312261,0.2850897976754992,541440,624146,617864,2028565,2136591,2167261
Florida,MONROE COUNTY,0.3069087688219663,0.29068983481965005,0.34744430506375346,19404,18971,21881,63224,65262,62977
Florida,NASSAU COUNTY,0.17437232088181262,0.16991573780230432,0.21871838111298483,10251,10869,15564,58788,63967,71160
Florida,OKALOOSA COUNTY,0.15914140693479015,0.15274039912903287,0.20895668090298963,23421,23780,34248,147171,155689,163900
Florida,OKEECHOBEE COUNTY,0.15892132478073046,0.12432483356362266,0.13220104194898666,4856,3959,4390,30556,31844,33207
Florida,ORANGE COUNTY,0.2957143490048485,0.3211688070196959,0.3632319323805653,273665,329894,395014,925437,1027167,1087498
Florida,OSCEOLA COUNTY,0.3132421793109874,0.3363600939909551,0.34121219985200824,67239,85458,97297,214655,254067,285151
Florida,PALM BEACH COUNTY,0.3223415769201694,0.3203751746499732,0.35744040969801094,349651,374673,433572,1084722,1169482,1212991
Florida,PASCO COUNTY,0.2641194495215568,0.2220979338008111,0.26949836136812183,98263,90142,119073,372040,405866,441832
Florida,PINELLAS COUNTY,0.31392319973111504,0.29222414508860467,0.33837387843907746,239104,233701,277450,761664,799732,819951
Florida,POLK COUNTY,0.24168191824031982,0.22734761439205475,0.2564778566401788,114622,117433,145049,474268,516535,565542
Florida,PUTNAM COUNTY,0.20510521596962186,0.17778952003522677,0.17917382942147636,11667,10094,10527,56883,56775,58753
Florida,SANTA ROSA COUNTY,0.14589645687071479,0.13984170863786116,0.19159167077207032,17768,18464,27612,121785,132035,144119
Florida,SARASOTA COUNTY,0.29089446707524436,0.2774596298648281,0.32216792107677206,95119,97870,120110,326988,352736,372818
Florida,SEMINOLE COUNTY,0.28763536264214756,0.295238068690225,0.3547057501043819,96445,105914,132528,335303,358741,373628
Florida,ST. JOHNS COUNTY,0.22431157572667007,0.23527196104548334,0.3077390218863414,35190,43099,63850,156880,183188,207481
Florida,ST. LUCIE COUNTY,0.2971006648444336,0.27445452568253537,0.3184763764923198,65869,66881,84137,221706,243687,264186
Florida,SUMTER COUNTY,0.20918422011271348,0.19984463002524763,0.23849624060150376,19524,22638,29341,93334,113278,123025
Florida,SUWANNEE COUNTY,0.13914597000937207,0.11439785287581888,0.12786520697913104,4751,3964,4485,34144,34651,35076
Florida,TAYLOR COUNTY,0.15026639121452648,0.12123260661371191,0.13281340265742345,2764,2152,2299,18394,17751,17310
Florida,UNION COUNTY,0.10876451953537487,0.08221177233663045,0.08613496932515337,1339,1014,1053,12311,12334,12225
Florida,VOLUSIA COUNTY,0.2832220993602401,0.25124191917679817,0.28603003671348587,114748,109091,130575,405152,434207,456508
Florida,WAKULLA COUNTY,0.21401100037219303,0.17352436444905614,0.2000299054240963,5175,4348,5351,24181,25057,26751
Florida,WALTON COUNTY,0.14639338146546996,0.13212151490113944,0.1752589553630461,6671,6876,10338,45569,52043,58987
Florida,WASHINGTON COUNTY,0.1437308868501529,0.11565181855333061,0.11506030002941464,2820,2264,2347,19620,19576,20398
Georgia,APPLING COUNTY,0.12791036088474972,0.10377768128528007,0.128234700497369,1758,1434,1779,13744,13818,13873
Georgia,ATKINSON COUNTY,0.157600406710727,0.11634117843431814,0.13692946058091288,930,697,825,5901,5991,6025
Georgia,BACON COUNTY,0.09603010804904698,0.07257968246388923,0.07502100588164685,791,608,625,8237,8377,8331
Georgia,BAKER COUNTY,0.3055021161985379,0.253411306042885,0.26644871270944015,794,650,652,2599,2565,2447
Georgia,BALDWIN COUNTY,0.2268849126748509,0.21803359413470483,0.24971313043003115,8483,7970,9140,37389,36554,36602
Georgia,BANKS COUNTY,0.05673552516729706,0.04846938775510204,0.06226616782469268,780,684,932,13748,14112,14968
Georgia,BARROW COUNTY,0.11875258564646086,0.11639425458147598,0.16908767389194435,6028,6580,10453,50761,56532,61820
Georgia,BARTOW COUNTY,0.11299678344077628,0.10554049017465846,0.1473789413385011,8396,8212,12092,74303,77809,82047
Georgia,BEN HILL COUNTY,0.1936627862154036,0.16337480559875583,0.18976596588655295,2512,2101,2392,12971,12860,12605
Georgia,BERRIEN COUNTY,0.0880359612724758,0.07303801883501919,0.08597560975609755,1273,1047,1269,14460,14335,14760
Georgia,BIBB COUNTY,0.3301192655840934,0.3191155294158469,0.374591739126688,38585,36787,43468,116882,115278,116041
Georgia,BLECKLEY COUNTY,0.1265456721180694,0.10768779342723005,0.12725684333139195,1269,1101,1311,10028,10224,10302
Georgia,BRANTLEY COUNTY,0.06787134080231297,0.04420165666952299,0.04760607505278213,939,619,699,13835,14004,14683
Georgia,BROOKS COUNTY,0.2592959841348537,0.20598060783834432,0.23016003959742617,3138,2528,2790,12102,12273,12122
Georgia,BRYAN COUNTY,0.16213970170143902,0.15862477771191463,0.24085921584045178,3707,4014,6739,22863,25305,27979
Georgia,BULLOCH COUNTY,0.16366955572237768,0.15510744133853652,0.17608181547665658,9593,9261,11243,58612,59707,63851
Georgia,BURKE COUNTY,0.3211717867966011,0.28409295622410374,0.3130220539631032,5405,4731,5209,16829,16653,16641
Georgia,BUTTS COUNTY,0.16194685436787254,0.13668566558355083,0.16507840467907023,2968,2566,3274,18327,18773,19833
Georgia,CALHOUN COUNTY,0.24458262671942718,0.22594863932541204,0.24508850418206574,1298,1179,1260,5307,5218,5141
Georgia,CAMDEN COUNTY,0.1676789987115774,0.14958504654037283,0.19205457657353614,6377,5930,7967,38031,39643,41483
Georgia,CANDLER COUNTY,0.14012353154898874,0.12638580931263857,0.15653139262365856,1157,1026,1269,8257,8118,8107
Georgia,CARROLL COUNTY,0.1516651127208396,0.1414354609929078,0.17710253361981523,12688,12464,16238,83658,88125,91687
Georgia,CATOOSA COUNTY,0.10938933632378428,0.0940209679962163,0.13251008353564123,5365,4771,6932,49045,50744,52313
Georgia,CHARLTON COUNTY,0.11131777178461824,0.09647352743345824,0.10086877000457248,1197,1004,1103,10753,10407,10935
Georgia,CHATHAM COUNTY,0.28035478286767307,0.27622079926211046,0.34159522271306597,60246,62290,78254,214892,225508,229084
Georgia,CHATTAHOOCHEE COUNTY,0.08150715563506261,0.07488653555219364,0.07896294542441103,729,594,667,8944,7932,8447
Georgia,CHATTOOGA COUNTY,0.11226234785232873,0.08359678673231408,0.0963216957605985,2232,1613,1854,19882,19295,19248
Georgia,CHEROKEE COUNTY,0.12289253638897492,0.13985521706354487,0.21732660948347224,19841,25231,42794,161450,180408,196911
Georgia,CLARKE COUNTY,0.2568502489622365,0.2874607937386508,0.3390232203820218,25431,29603,36048,99011,102981,106329
Georgia,CLAY COUNTY,0.35444078947368424,0.29508890770533447,0.34543069523393094,862,697,790,2432,2362,2287
Georgia,CLAYTON COUNTY,0.42833186138447304,0.3906878243453157,0.45113734088095486,81479,78220,95476,190224,200211,211634
Georgia,CLINCH COUNTY,0.17250455557805225,0.1373923492890046,0.15066559096409843,852,686,747,4939,4993,4958
Georgia,COBB COUNTY,0.25150526441076954,0.2826665678081297,0.3803741570664111,133124,160121,221846,529309,566466,583231
Georgia,COFFEE COUNTY,0.15707895881220102,0.12643997652799654,0.1379173290937997,5057,4094,4511,32194,32379,32708
Georgia,COLQUITT COUNTY,0.11882757589352475,0.10380073137102092,0.12347754283523549,3973,3463,4187,33435,33362,33909
Georgia,COLUMBIA COUNTY,0.16925593645829046,0.17228891483616726,0.2490841242523898,16451,18887,29236,97196,109624,117374
Georgia,COOK COUNTY,0.16487686717803796,0.1381076183723312,0.15904526494670168,2042,1753,2059,12385,12693,12946
Georgia,COWETA COUNTY,0.1580724498728584,0.15766005590310128,0.21471331648263936,15168,16583,24210,95956,105182,112755
Georgia,CRAWFORD COUNTY,0.17510007184645388,0.1468582058701943,0.16314779270633398,1706,1421,1615,9743,9676,9899
Georgia,CRISP COUNTY,0.17859358258613883,0.16424477508249868,0.17543035074319957,3167,2837,2986,17733,17273,17021
Georgia,DADE COUNTY,0.1077181464233911,0.07379932701131844,0.09679152594412035,1411,965,1261,13099,13076,13028
Georgia,DAWSON COUNTY,0.07070419325432999,0.0772307856419009,0.1192154606051887,1241,1448,2486,17552,18749,20853
Georgia,DECATUR COUNTY,0.22362396492937164,0.2053069149200976,0.23904780956191238,4591,4124,4780,20530,20087,19996
Georgia,DEKALB COUNTY,0.43929019920965234,0.44014904517931996,0.5269125832524172,238224,251370,308227,542293,571102,584968
Georgia,DODGE COUNTY,0.1451670431577696,0.11013954602623226,0.13044523222976626,2442,1839,2171,16822,16697,16643
Georgia,DOOLY COUNTY,0.19959818308874913,0.16509392362642208,0.1708080085806221,2285,1872,1911,11448,11339,11188
Georgia,DOUGHERTY COUNTY,0.371955187144595,0.3415981594642517,0.3658979588798404,26295,23311,24577,70694,68241,67169
Georgia,DOUGLAS COUNTY,0.2937543250808209,0.297333064817745,0.39358445116625446,28441,31005,42809,96819,104277,108767
Georgia,EARLY COUNTY,0.34880787183045286,0.28112033195020747,0.3182708632623743,2765,2168,2437,7927,7712,7657
Georgia,ECHOLS COUNTY,0.06038394415357766,0.05407279029462738,0.05636179547755653,173,156,167,2865,2885,2963
Georgia,EFFINGHAM COUNTY,0.12808761845580238,0.11287096474090613,0.16307906799890154,4947,4853,7720,38622,42996,47339
Georgia,ELBERT COUNTY,0.20941408821593152,0.1702313107609789,0.1914992683251297,3181,2539,2879,15190,14915,15034
Georgia,EMANUEL COUNTY,0.17184289320730348,0.14537313432835822,0.16932832315641147,2927,2435,2884,17033,16750,17032
Georgia,EVANS COUNTY,0.16095455699416095,0.14533762057877814,0.16883448099974496,1268,1130,1324,7878,7775,7842
Georgia,FANNIN COUNTY,0.10507772020725388,0.09271938283510126,0.11712984054669703,2028,1923,2571,19300,20740,21950
Georgia,FAYETTE COUNTY,0.24490302406095277,0.27333771600300527,0.3753121452894438,19736,23284,33065,80587,85184,88100
Georgia,FLOYD COUNTY,0.13197524779584907,0.12372679869235134,0.15821442217742468,9640,9159,12008,73044,74026,75897
Georgia,FORSYTH COUNTY,0.11108823933031425,0.14862913034664504,0.2363333967990861,14571,23462,42203,131166,157856,178574
Georgia,FRANKLIN COUNTY,0.08797980983683532,0.07134247833323767,0.08729245438106198,1499,1243,1593,17038,17423,18249
Georgia,FULTON COUNTY,0.3420060912346464,0.3753577606740622,0.4559662353571702,255470,297051,381144,746975,791381,835904
Georgia,GILMER COUNTY,0.08792096991468343,0.0821350944658084,0.11526063369761774,1958,1965,2932,22270,23924,25438
Georgia,GLASCOCK COUNTY,0.07642205818497612,0.06049978079789566,0.0665807560137457,176,138,155,2303,2281,2328
Georgia,GLYNN COUNTY,0.19313131313131313,0.18084501850685752,0.2367702974726012,11950,11775,15879,61875,65111,67065
Georgia,GORDON COUNTY,0.08361082079576113,0.07451044692213998,0.09936761939300529,3440,3181,4384,41143,42692,44119
Georgia,GRADY COUNTY,0.18186170212765956,0.16202409120240913,0.19529437159354596,3419,3013,3619,18800,18596,18531
Georgia,GREENE COUNTY,0.24829351535836178,0.23420455377406837,0.27467580460928576,3201,3199,4088,12892,13659,14883
Georgia,GWINNETT COUNTY,0.22140886678106741,0.25321176137108303,0.3518804147592842,132509,166153,241827,598481,656182,687242
Georgia,HABERSHAM COUNTY,0.0692134155512107,0.0729157489795319,0.1011382667688552,2301,2483,3563,33245,34053,35229
Georgia,HALL COUNTY,0.09729207831866356,0.1115362079068004,0.16292193337585753,12999,16180,25031,133608,145065,153638
Georgia,HANCOCK COUNTY,0.44006917653319144,0.37244897959183676,0.41602787456445994,3308,2701,2985,7517,7252,7175
Georgia,HARALSON COUNTY,0.0839906103286385,0.0674624954262715,0.07916243318460926,1789,1475,1792,21300,21864,22637
Georgia,HARRIS COUNTY,0.16490948876069225,0.15550903901046623,0.19685437033296058,4145,4086,5457,25135,26275,27721
Georgia,HART COUNTY,0.14410524201646918,0.12885056325391286,0.1519029976423038,2870,2585,3157,19916,20062,20783
Georgia,HEARD COUNTY,0.10778851620238772,0.08323997311225632,0.08875484704868591,948,743,824,8795,8926,9284
Georgia,HENRY COUNTY,0.2923734758643728,0.3078498419453635,0.41803919331374617,43761,50057,73276,149675,162602,175285
Georgia,HOUSTON COUNTY,0.2111440768608339,0.20067089013061892,0.27421454276307394,22702,22553,32232,107519,112388,117543
Georgia,IRWIN COUNTY,0.15410588870880604,0.12232289950576607,0.13515687851971037,1141,891,1008,7404,7284,7458
Georgia,JACKSON COUNTY,0.09393146859346602,0.09260557571758496,0.14022275638085102,4238,4491,7642,45118,48496,54499
Georgia,JASPER COUNTY,0.17945725124015174,0.14758172433569108,0.16120468692786524,1845,1544,1761,10281,10462,10924
Georgia,JEFF DAVIS COUNTY,0.11580381471389646,0.08238844184345281,0.09197459067728371,1275,901,1028,11010,10936,11177
Georgia,JEFFERSON COUNTY,0.34656364375762505,0.3184166666666667,0.34418171031443345,4261,3821,4061,12295,12000,11799
