State,County,Year,Reg_Voters
Arizona,APACHE COUNTY,2020,51906
Arizona,COCHISE COUNTY,2020,82022
Arizona,COCONINO COUNTY,2020,90669
Arizona,GILA COUNTY,2020,34001
Arizona,GRAHAM COUNTY,2020,19851
Arizona,GREENLEE COUNTY,2020,4866
Arizona,LA PAZ COUNTY,2020,10909
Arizona,MARICOPA COUNTY,2020,2595272
Arizona,MOHAVE COUNTY,2020,135180
Arizona,NAVAJO COUNTY,2020,70650
Arizona,PIMA COUNTY,2020,638355
Arizona,PINAL COUNTY,2020,248874
Arizona,SANTA CRUZ COUNTY,2020,29963
Arizona,YAVAPAI COUNTY,2020,165361
Arizona,YUMA COUNTY,2020,103273
Florida,ALACHUA COUNTY,2020,190433
Florida,BAKER COUNTY,2020,16933
Florida,BAY COUNTY,2020,124653
Florida,BRADFORD COUNTY,2020,17742
Florida,BREVARD COUNTY,2020,452424
Florida,BROWARD COUNTY,2020,1266991
Florida,CALHOUN COUNTY,2020,8709
Florida,CHARLOTTE COUNTY,2020,152142
Florida,CITRUS COUNTY,2020,117092
Florida,CLAY COUNTY,2020,164745
Florida,COLLIER COUNTY,2020,231708
Florida,COLUMBIA COUNTY,2020,44239
Florida,DESOTO COUNTY,2020,17819
Florida,DIXIE COUNTY,2020,10595
Florida,DUVAL COUNTY,2020,664211
Florida,ESCAMBIA COUNTY,2020,232238
Florida,FLAGLER COUNTY,2020,91916
Florida,FRANKLIN COUNTY,2020,8485
Florida,GADSDEN COUNTY,2020,31155
Florida,GILCHRIST COUNTY,2020,12516
Florida,GLADES COUNTY,2020,7097
Florida,GULF COUNTY,2020,10829
Florida,HAMILTON COUNTY,2020,8098
Florida,HARDEE COUNTY,2020,13111
Florida,HENDRY COUNTY,2020,19122
Florida,HERNANDO COUNTY,2020,146893
Florida,HIGHLANDS COUNTY,2020,66317
Florida,HILLSBOROUGH COUNTY,2020,934346
Florida,HOLMES COUNTY,2020,11489
Florida,INDIAN RIVER COUNTY,2020,124586
Florida,JACKSON COUNTY,2020,29857
Florida,JEFFERSON COUNTY,2020,10236
Florida,LAFAYETTE COUNTY,2020,4568
Florida,LAKE COUNTY,2020,264691
Florida,LEE COUNTY,2020,489187
Florida,LEON COUNTY,2020,217454
Florida,LEVY COUNTY,2020,30099
Florida,LIBERTY COUNTY,2020,4601
Florida,MADISON COUNTY,2020,11758
Florida,MANATEE COUNTY,2020,273427
Florida,MARION COUNTY,2020,264614
Florida,MARTIN COUNTY,2020,118472
Florida,MIAMI-DADE COUNTY,2020,1564297
Florida,MONROE COUNTY,2020,56910
Florida,NASSAU COUNTY,2020,72223
Florida,OKALOOSA COUNTY,2020,150654
Florida,OKEECHOBEE COUNTY,2020,22394
Florida,ORANGE COUNTY,2020,866460
Florida,OSCEOLA COUNTY,2020,239027
Florida,PALM BEACH COUNTY,2020,1020222
Florida,PASCO COUNTY,2020,393392
Florida,PINELLAS COUNTY,2020,711462
Florida,POLK COUNTY,2020,471241
Florida,PUTNAM COUNTY,2020,50692
Florida,SANTA ROSA COUNTY,2020,145810
Florida,SARASOTA COUNTY,2020,340092
Florida,SEMINOLE COUNTY,2020,335172
Florida,ST. JOHNS COUNTY,2020,210059
Florida,ST. LUCIE COUNTY,2020,223640
Florida,SUMTER COUNTY,2020,105612
Florida,SUWANNEE COUNTY,2020,27728
Florida,TAYLOR COUNTY,2020,12779
Florida,UNION COUNTY,2020,7718
Florida,VOLUSIA COUNTY,2020,398530
Florida,WAKULLA COUNTY,2020,22909
Florida,WALTON COUNTY,2020,58057
Florida,WASHINGTON COUNTY,2020,17191
Georgia,APPLING COUNTY,2020,11440
Georgia,ATKINSON COUNTY,2020,4801
Georgia,BACON COUNTY,2020,6726
Georgia,BAKER COUNTY,2020,2258
Georgia,BALDWIN COUNTY,2020,26742
Georgia,BANKS COUNTY,2020,12905
Georgia,BARROW COUNTY,2020,55694
Georgia,BARTOW COUNTY,2020,74380
Georgia,BEN HILL COUNTY,2020,9892
Georgia,BERRIEN COUNTY,2020,11317
Georgia,BIBB COUNTY,2020,108126
Georgia,BLECKLEY COUNTY,2020,7558
Georgia,BRANTLEY COUNTY,2020,11302
Georgia,BROOKS COUNTY,2020,11170
Georgia,BRYAN COUNTY,2020,30651
Georgia,BULLOCH COUNTY,2020,44737
Georgia,BURKE COUNTY,2020,16570
Georgia,BUTTS COUNTY,2020,17195
Georgia,CALHOUN COUNTY,2020,3187
Georgia,CAMDEN COUNTY,2020,35141
Georgia,CANDLER COUNTY,2020,6328
Georgia,CARROLL COUNTY,2020,83866
Georgia,CATOOSA COUNTY,2020,45785
Georgia,CHARLTON COUNTY,2020,6562
Georgia,CHATHAM COUNTY,2020,202999
Georgia,CHATTAHOOCHEE COUNTY,2020,3943
Georgia,CHATTOOGA COUNTY,2020,14183
Georgia,CHEROKEE COUNTY,2020,190605
Georgia,CLARKE COUNTY,2020,76848
Georgia,CLAY COUNTY,2020,2053
Georgia,CLAYTON COUNTY,2020,194338
Georgia,CLINCH COUNTY,2020,4345
Georgia,COBB COUNTY,2020,537659
Georgia,COFFEE COUNTY,2020,25165
Georgia,COLQUITT COUNTY,2020,25087
Georgia,COLUMBIA COUNTY,2020,107656
Georgia,COOK COUNTY,2020,10650
Georgia,COWETA COUNTY,2020,102262
Georgia,CRAWFORD COUNTY,2020,8536
Georgia,CRISP COUNTY,2020,12560
Georgia,DADE COUNTY,2020,11682
Georgia,DAWSON COUNTY,2020,21557
Georgia,DECATUR COUNTY,2020,16726
Georgia,DEKALB COUNTY,2020,547802
Georgia,DODGE COUNTY,2020,11464
Georgia,DOOLY COUNTY,2020,5966
Georgia,DOUGHERTY COUNTY,2020,61402
Georgia,DOUGLAS COUNTY,2020,101613
Georgia,EARLY COUNTY,2020,7340
Georgia,ECHOLS COUNTY,2020,2170
Georgia,EFFINGHAM COUNTY,2020,44372
Georgia,ELBERT COUNTY,2020,12330
Georgia,EMANUEL COUNTY,2020,13844
Georgia,EVANS COUNTY,2020,6148
Georgia,FANNIN COUNTY,2020,20399
Georgia,FAYETTE COUNTY,2020,92427
Georgia,FLOYD COUNTY,2020,60749
Georgia,FORSYTH COUNTY,2020,164279
Georgia,FRANKLIN COUNTY,2020,15170
Georgia,FULTON COUNTY,2020,808742
Georgia,GILMER COUNTY,2020,22315
Georgia,GLASCOCK COUNTY,2020,2040
Georgia,GLYNN COUNTY,2020,61947
Georgia,GORDON COUNTY,2020,36431
Georgia,GRADY COUNTY,2020,15441
Georgia,GREENE COUNTY,2020,14197
Georgia,GWINNETT COUNTY,2020,582917
Georgia,HABERSHAM COUNTY,2020,28318
Georgia,HALL COUNTY,2020,128535
Georgia,HANCOCK COUNTY,2020,5835
Georgia,HARALSON COUNTY,2020,20692
Georgia,HARRIS COUNTY,2020,25690
Georgia,HART COUNTY,2020,16942
Georgia,HEARD COUNTY,2020,7772
Georgia,HENRY COUNTY,2020,172241
Georgia,HOUSTON COUNTY,2020,105587
Georgia,IRWIN COUNTY,2020,6124
Georgia,JACKSON COUNTY,2020,52010
Georgia,JASPER COUNTY,2020,10434
Georgia,JEFF DAVIS COUNTY,2020,8495
Georgia,JEFFERSON COUNTY,2020,11350
Georgia,JENKINS COUNTY,2020,5075
Georgia,JOHNSON COUNTY,2020,5610
Georgia,JONES COUNTY,2020,20406
Georgia,LAMAR COUNTY,2020,12872
Georgia,LANIER COUNTY,2020,5496
Georgia,LAURENS COUNTY,2020,32874
Georgia,LEE COUNTY,2020,22930
Georgia,LIBERTY COUNTY,2020,35970
Georgia,LINCOLN COUNTY,2020,6182
Georgia,LONG COUNTY,2020,9683
Georgia,LOWNDES COUNTY,2020,75535
Georgia,LUMPKIN COUNTY,2020,22412
Georgia,MACON COUNTY,2020,7079
Georgia,MADISON COUNTY,2020,20737
Georgia,MARION COUNTY,2020,4922
Georgia,MCDUFFIE COUNTY,2020,15083
Georgia,MCINTOSH COUNTY,2020,9320
Georgia,MERIWETHER COUNTY,2020,15336
Georgia,MILLER COUNTY,2020,3920
Georgia,MITCHELL COUNTY,2020,13481
Georgia,MONROE COUNTY,2020,21151
Georgia,MONTGOMERY COUNTY,2020,5467
Georgia,MORGAN COUNTY,2020,14843
Georgia,MURRAY COUNTY,2020,22340
Georgia,MUSCOGEE COUNTY,2020,132029
Georgia,NEWTON COUNTY,2020,79098
Georgia,OCONEE COUNTY,2020,30051
Georgia,OGLETHORPE COUNTY,2020,10848
Georgia,PAULDING COUNTY,2020,115297
Georgia,PEACH COUNTY,2020,18164
Georgia,PICKENS COUNTY,2020,23820
Georgia,PIERCE COUNTY,2020,12735
Georgia,PIKE COUNTY,2020,13825
Georgia,POLK COUNTY,2020,24256
Georgia,PULASKI COUNTY,2020,5712
Georgia,PUTNAM COUNTY,2020,16000
Georgia,QUITMAN COUNTY,2020,1553
Georgia,RABUN COUNTY,2020,13074
Georgia,RANDOLPH COUNTY,2020,4338
Georgia,RICHMOND COUNTY,2020,135428
Georgia,ROCKDALE COUNTY,2020,65573
Georgia,SCHLEY COUNTY,2020,2890
Georgia,SCREVEN COUNTY,2020,9610
Georgia,SEMINOLE COUNTY,2020,5937
Georgia,SPALDING COUNTY,2020,46088
Georgia,STEPHENS COUNTY,2020,18078
Georgia,STEWART COUNTY,2020,2909
Georgia,SUMTER COUNTY,2020,18033
Georgia,TALBOT COUNTY,2020,4567
Georgia,TALIAFERRO COUNTY,2020,1246
Georgia,TATTNALL COUNTY,2020,12216
Georgia,TAYLOR COUNTY,2020,5405
Georgia,TELFAIR COUNTY,2020,6076
Georgia,TERRELL COUNTY,2020,6625
Georgia,THOMAS COUNTY,2020,30218
Georgia,TIFT COUNTY,2020,24551
Georgia,TOOMBS COUNTY,2020,16227
Georgia,TOWNS COUNTY,2020,10189
Georgia,TREUTLEN COUNTY,2020,4248
Georgia,TROUP COUNTY,2020,43169
Georgia,TURNER COUNTY,2020,5604
Georgia,TWIGGS COUNTY,2020,6308
Georgia,UNION COUNTY,2020,19235
Georgia,UPSON COUNTY,2020,18187
Georgia,WALKER COUNTY,2020,43050
Georgia,WALTON COUNTY,2020,70129
Georgia,WARE COUNTY,2020,20580
Georgia,WARREN COUNTY,2020,3789
Georgia,WASHINGTON COUNTY,2020,12994
Georgia,WAYNE COUNTY,2020,18164
Georgia,WEBSTER COUNTY,2020,1713
Georgia,WHEELER COUNTY,2020,3169
Georgia,WHITE COUNTY,2020,20630
Georgia,WHITFIELD COUNTY,2020,54779
Georgia,WILCOX COUNTY,2020,4562
Georgia,WILKES COUNTY,2020,6836
Georgia,WILKINSON COUNTY,2020,6484
Georgia,WORTH COUNTY,2020,13847
Michigan,ALCONA COUNTY,2020,9842
Michigan,ALGER COUNTY,2020,7565
Michigan,ALLEGAN COUNTY,2020,93547
Michigan,ALPENA COUNTY,2020,24768
Michigan,ANTRIM COUNTY,2020,21961
Michigan,ARENAC COUNTY,2020,12693
Michigan,BARAGA COUNTY,2020,6681
Michigan,BARRY COUNTY,2020,49600
Michigan,BAY COUNTY,2020,84534
Michigan,BENZIE COUNTY,2020,16421
Michigan,BERRIEN COUNTY,2020,134312
Michigan,BRANCH COUNTY,2020,33640
Michigan,CALHOUN COUNTY,2020,105964
Michigan,CASS COUNTY,2020,44434
Michigan,CHARLEVOIX COUNTY,2020,23670
Michigan,CHEBOYGAN COUNTY,2020,22538
Michigan,CHIPPEWA COUNTY,2020,26085
Michigan,CLARE COUNTY,2020,25154
Michigan,CLINTON COUNTY,2020,62024
Michigan,CRAWFORD COUNTY,2020,11966
Michigan,DELTA COUNTY,2020,31218
Michigan,DICKINSON COUNTY,2020,23280
Michigan,EATON COUNTY,2020,87635
Michigan,EMMET COUNTY,2020,30536
Michigan,GENESEE COUNTY,2020,348259
Michigan,GLADWIN COUNTY,2020,21851
Michigan,GOGEBIC COUNTY,2020,14278
Michigan,GRAND TRAVERSE COUNTY,2020,80742
Michigan,GRATIOT COUNTY,2020,28190
Michigan,HILLSDALE COUNTY,2020,36373
Michigan,HOUGHTON COUNTY,2020,26465
Michigan,HURON COUNTY,2020,26141
Michigan,INGHAM COUNTY,2020,213353
Michigan,IONIA COUNTY,2020,46736
Michigan,IOSCO COUNTY,2020,22508
Michigan,IRON COUNTY,2020,10442
Michigan,ISABELLA COUNTY,2020,46052
Michigan,JACKSON COUNTY,2020,121853
Michigan,KALAMAZOO COUNTY,2020,209826
Michigan,KALKASKA COUNTY,2020,15966
Michigan,KENT COUNTY,2020,498832
Michigan,KEWEENAW COUNTY,2020,2046
Michigan,LAKE COUNTY,2020,9956
Michigan,LAPEER COUNTY,2020,71794
Michigan,LEELANAU COUNTY,2020,21333
Michigan,LENAWEE COUNTY,2020,78765
Michigan,LIVINGSTON COUNTY,2020,160644
Michigan,LUCE COUNTY,2020,4543
Michigan,MACKINAC COUNTY,2020,10083
Michigan,MACOMB COUNTY,2020,689812
Michigan,MANISTEE COUNTY,2020,20908
Michigan,MARQUETTE COUNTY,2020,54567
Michigan,MASON COUNTY,2020,24630
Michigan,MECOSTA COUNTY,2020,31052
Michigan,MENOMINEE COUNTY,2020,20053
Michigan,MIDLAND COUNTY,2020,69376
Michigan,MISSAUKEE COUNTY,2020,12010
Michigan,MONROE COUNTY,2020,130135
Michigan,MONTCALM COUNTY,2020,47629
Michigan,MONTMORENCY COUNTY,2020,8553
Michigan,MUSKEGON COUNTY,2020,140636
Michigan,NEWAYGO COUNTY,2020,39611
Michigan,OAKLAND COUNTY,2020,1030567
Michigan,OCEANA COUNTY,2020,21129
Michigan,OGEMAW COUNTY,2020,17816
Michigan,ONTONAGON COUNTY,2020,5727
Michigan,OSCEOLA COUNTY,2020,18356
Michigan,OSCODA COUNTY,2020,7266
Michigan,OTSEGO COUNTY,2020,22945
Michigan,OTTAWA COUNTY,2020,219641
Michigan,PRESQUE ISLE COUNTY,2020,11523
Michigan,ROSCOMMON COUNTY,2020,22908
Michigan,SAGINAW COUNTY,2020,156209
Michigan,ST CLAIR COUNTY,2020,133821
Michigan,ST JOSEPH COUNTY,2020,47227
Michigan,SANILAC COUNTY,2020,31510
Michigan,SCHOOLCRAFT COUNTY,2020,7198
Michigan,SHIAWASSEE COUNTY,2020,55703
Michigan,TUSCOLA COUNTY,2020,42707
Michigan,VAN BUREN COUNTY,2020,60552
Michigan,WASHTENAW COUNTY,2020,316414
Michigan,WAYNE COUNTY,2020,1398888
Michigan,WEXFORD COUNTY,2020,27347
North Carolina,ALAMANCE COUNTY,2020,110926
North Carolina,ALEXANDER COUNTY,2020,24953
North Carolina,ALLEGHANY COUNTY,2020,7609
North Carolina,ANSON COUNTY,2020,16732
North Carolina,ASHE COUNTY,2020,19545
North Carolina,AVERY COUNTY,2020,12355
North Carolina,BEAUFORT COUNTY,2020,34090
North Carolina,BERTIE COUNTY,2020,13335
North Carolina,BLADEN COUNTY,2020,22855
North Carolina,BRUNSWICK COUNTY,2020,114745
North Carolina,BUNCOMBE COUNTY,2020,207375
North Carolina,BURKE COUNTY,2020,58309
